title,description
"ESCÂNDALO DA RACHADINHA","VOCÊ FOI PEGO NA RACHADINHA. RETORNE IMEDIATAMENTE PARA A CASA INICIAL E TENTE SE JUSTIFICAR!"
"DINHEIRO NA CUECA","VOCÊ FOI FLAGRADO COM DINHEIRO ILÍCITO NA CUECA! VÁ PARA UMA CASA ADJACENTE À DO XANDÃO."
"ENTREVISTA DESASTROSA","DEU ENTREVISTA DESASTROSA NA TV. VÁ PARA A CASA INICIAL PEDIR AJUDA DE UM ADVOGADO."
"CRACHÁ ESQUECIDO","VOCÊ TENTOU ENTRAR NO STF, MAS ESQUECEU O CRACHÁ. POR SORTE SEU COLEGA DEPUTADO A ESQUERDA TROUXE UM EXTRA, TROQUE DE LUGAR COM ELE."
"REVELAÇÕES INCONVENIENTES","SUA CPI REVELOU MAIS DO QUE DEVIA. TROQUE DE LUGAR COM O DEPUTADO A SUA DIREITA PARA DESVIAR AS ATENÇÕES."
"BENS CONGELADOS","PROCURADORIA CONGELOU OS SEUS BENS! FIQUE 2 TURNOS PARADO E PEÇA AO XANDÃO PARA LIBERAR SUA CONTA."
"CANCELADO NA INTERNET","MANIFESTAÇÃO TE CANCELOU NA INTERNET! FIQUE 1 TURNO PARADO LENDO OS COMENTÁRIOS."
"APOIO PERDIDO","VOCÊ PERDEU APOIO DE UMA PAUTA IMPOPULAR E PERDEU APOIO. VOLTE PARA SUA CASA INICIAL PARA SE REDIMIR."
"LEI MAL INTERPRETADA","VOCÊ PASSOU UMA LEI QUE NINGUÉM ENTENDEU. RETORNE À CASA ONDE ESTAVA PARA TENTAR EXPLICAR MELHOR!"
"ASSESSOR MAL INFORMADO","SEU ASSESSOR PASSOU A LOCALIZAÇÃO ERRADA. VOLTE PARA SUA CASA ANTERIOR ANTES QUE PERCEBAM O ERRO!"
"NOTA OFICIAL FALHOU","SUA NOTA DE ESCLARECIMENTO SÓ PIOROU TUDO. RETORNE À CASA ONDE ESTAVA E REPENSE SUA ESTRATÉGIA!"
"CRACHÁ ESQUECIDO 2.0","VOCÊ NOVAMENTE ESQUECEU SEU CRACHÁ! SEU COLEGA À ESQUERDA SALVOU O DIA, TROQUE DE LUGAR COM ELE."
"ALIADO EM APUROS","UM ALIADO À SUA ESQUERDA PRECISA DA SUA AJUDA IMEDIATA. TROQUE DE POSIÇÃO COM ELE E ASSUMA O B.O.!"
"SESSÃO CONFUSA","A SESSÃO PLENÁRIA VIROU UMA BAGUNÇA, E VOCÊ ACABOU SENTANDO NO LUGAR ERRADO. TROQUE COM O DEPUTADO À SUA ESQUERDA!"
"FOFOCA NO PLENÁRIO","VOCÊ PRECISA APURAR UMA FOFOCA URGENTE À SUA DIREITA. TROQUE DE LUGAR COM O DEPUTADO AO LADO!"
"DEBATE ACALORADO","UM DEBATE TE LEVOU A TROCAR PALAVRAS E LUGARES COM O DEPUTADO À SUA DIREITA. ATÉ QUANDO, NOBRE COLEGA?"
