title,description
"JUIZ DA CASA!","VOCÊ É O XANDÃO, MANDA E DESMANDA! JOGUE O DADO DE NOVO E SIGA CAUSANDO."
"INTERVENÇÃO MONOCRÁTICA","QUEM PRECISA DE CONSENSO QUANDO SE É O XANDÃO? ROLE O DADO NOVAMENTE!"
"NOVA OPERAÇÃO EM CURSO","ACABEI DE RECEBER UM RELATÓRIO. JOGUE O DADO DE NOVO E SIGA ADIANTE!"
"SIGILO LEVANTADO","LEVANTEI O SIGILO E SURPRESAS APARECERAM. ROLE O DADO MAIS UMA VEZ!"
"CANETADA SANTA","QUANDO A CANETA DESCE, A JUSTIÇA ANDA. JOGUE O DADO NOVAMENTE!"
"OPERAÇÃO LAVA-DEPUTADO","VOCÊ ESTÁ NO COMANDO. ROLE O DADO ATÉ 3 VEZES NOVAMENTE E FIQUE MAIS PRÓXIMO DELES!"
"VARREDURA GERAL","É HORA DA LIMPEZA! JOGUE O DADO ATÉ 3 VEZES NOVAMENTE PARA ALCANÇAR SEUS ALVOS."
"CERCANDO O CERCADO","NÃO DEIXE ESCAPAR NINGUÉM! LANCE O DADO ATÉ 3 VEZES NOVAMENTE."
"O TRIBUNAL ESTÁ COM VOCÊ!","APOIO TOTAL, SEM QUESTIONAMENTOS. ROLE O DADO ATÉ 3 VEZES NOVAMENTE SE PRECISAR!"
"PARE TUDO!","VOCÊ DECIDIU QUE ESSE AÍ VAI PENSAR MELHOR. ESCOLHA UM DEPUTADO PARA FICAR 1 RODADA PARADO."
"GABINETE SILENCIOSO","SEU GABINETE NÃO RESPONDEU AOS E-MAILS. DEPUTADO BLOQUEADO POR 1 RODADA."
"MEU B.O. É MAIOR QUE O SEU","QUEM MANDA AQUI SOU EU! ESCOLHA UM DEPUTADO PARA FICAR UMA RODADA PARADO."
"DOCUMENTOS APREENDIDOS","NÃO TEM COMO AGIR SEM OS DOCUMENTOS. BLOQUEIE UM DEPUTADO POR 1 RODADA!"
"FICHA SUJA!","TEM COISA ERRADA NO SEU HISTÓRICO. BLOQUEIE UM DEPUTADO POR 2 RODADAS."
"CAUTELAR NA MESA","XANDÃO FEZ UMA CANETADA! ESCOLHA UM DEPUTADO PARA FICAR 2 RODADAS PARADO."
"OPERAÇÃO EM ANDAMENTO","ESTÃO INVESTIGANDO SUAS CONTAS! DEPUTADO BLOQUEADO POR 2 RODADAS."
"PROVAS SURGIRAM","ENQUANTO RESOLVEM ISSO, VOCÊ FICA QUIETO. ESCOLHA UM DEPUTADO PARA FICAR 2 RODADAS PARADO."
"DESCONTO NA CASA!","QUEM ESTÁ MAIS PERTO DO XANDÃO? TROQUE DE LUGAR COM O DEPUTADO MAIS PRÓXIMO!"
"PROTESTO ERRADO","VOCÊ FOI PARAR NO LUGAR DE OUTRO. TROQUE DE LUGAR COM UM DEPUTADO DE SUA ESCOLHA!"
"CASO CONFUSO","NUNCA SABEM QUEM ESTÁ CERTO. TROQUE DE POSIÇÃO COM UM DEPUTADO!"
"SÓ CARTAS RUINS!","HOJE NÃO TEM MOLEZA. NA PRÓXIMA RODADA, OS DEPUTADOS NÃO GANHAM NADA BOM."
"LEI SECA DAS CARTAS VERDES","OS VERDES NÃO VÃO FUNCIONAR. PREPARE-SE PARA UMA RODADA DIFÍCIL!"
"DECISÃO UNILATERAL","OS DEPUTADOS VÃO TER QUE SE VIRAR SEM AS CARTAS BOAS NA PRÓXIMA RODADA!"
"NÃO ESCAPA!","VOCÊ SE MOVIMENTOU COM PRECISÃO. VÁ PARA UMA CASA ADJACENTE A UM DEPUTADO."
"CERCO FEITO!","NINGUÉM FICA LONGE DEMAIS. MEXA-SE PARA UMA CASA AO LADO DE OUTRO JOGADOR."
"PASSO DECISIVO","VOCÊ SE MOVE COMO UM REI. ESCOLHA UMA CASA ADJACENTE E SIGA EM FRENTE!"
"NO CONTROLE","VOCÊ DECIDE A PRÓXIMA CASA. MOVA-SE PARA UMA CASA ADJACENTE!"
"DECISÃO RÁPIDA","VOCÊ NÃO PODE ESPERAR. ESCOLHA UMA CASA ADJACENTE PARA SE POSICIONAR."
"ESTRATÉGIA CIRÚRGICA","CADA PASSO É PLANEJADO. MOVA-SE PARA QUALQUER CASA ADJACENTE."
"POUCO A POUCO","VOCÊ ESTÁ CHEGANDO PERTO DO TRONO. MOVA-SE PARA UMA CASA ADJACENTE A ELE!"
"QUASE LÁ","VOCÊ NÃO DESISTE. POSICIONE-SE EM UMA CASA PERTO DO TRONO!"
"CERCO AO PODER","O TRONO ESTÁ LOGO ALI. VÁ PARA UMA CASA ADJACENTE A ELE!"
"SALTO DA JUSTIÇA","VOCÊ AVANÇA COMO UM TITÃ. MOVA-SE 3 CASAS ADJACENTES DE SUA ESCOLHA!"
"ESTRATÉGIA MORTAL","VOCÊ NÃO TEM LIMITES. AVANCE 3 CASAS ADJACENTES COMO QUISER!"
